"","date","count"
"1",2020-10-02,10921
"2",2020-10-03,2714
"3",2020-10-04,543
"4",2020-10-05,165
"5",2020-10-06,168
"6",2020-10-07,131
"7",2020-10-08,74
"8",2020-10-09,52
"9",2020-10-10,84
"10",2020-10-11,45
"11",2020-10-12,29
"12",2020-10-13,44
"13",2020-10-14,30
"14",2020-10-15,17
"15",2020-10-16,35
"16",2020-10-17,37
"17",2020-10-18,17
"18",2020-10-19,20
"19",2020-10-20,59
"20",2020-10-21,19
"21",2020-10-22,6
"22",2020-10-23,243
"23",2020-10-24,311
"24",2020-10-25,1315
"25",2020-10-26,225
"26",2020-10-27,289
"27",2020-10-28,560
"28",2020-10-29,142
"29",2020-10-30,116
"30",2020-10-31,147
"31",2020-11-01,254
"32",2020-11-02,26
"33",2020-11-03,24
"34",2020-11-04,10
"35",2020-11-05,3
"36",2020-11-06,9
"37",2020-11-07,17
"38",2020-11-08,43
"39",2020-11-09,25
"40",2020-11-10,9
"41",2020-11-11,7
"42",2020-11-12,8
"43",2020-11-13,16
"44",2020-11-14,18
"45",2020-11-15,8
"46",2020-11-16,4
"47",2020-11-17,22
"48",2020-11-18,36
"49",2020-11-19,27
"50",2020-11-20,14
"51",2020-11-21,24
"52",2020-11-22,19
"53",2020-11-23,8
"54",2020-11-24,14
"55",2020-11-25,21
"56",2020-11-26,16
"57",2020-11-27,15
"58",2020-11-28,7
"59",2020-11-29,1
"60",2020-11-30,6
"61",2020-12-01,14
"62",2020-12-02,4
"63",2020-12-03,14
"64",2020-12-04,9
"65",2020-12-05,9
"66",2020-12-06,14
"67",2020-12-07,13
"68",2020-12-08,17
"69",2020-12-09,14
"70",2020-12-10,14
"71",2020-12-11,14
"72",2020-12-12,4
"73",2020-12-13,5
"74",2020-12-14,4
"75",2020-12-16,4
"76",2020-12-17,5
"77",2020-12-18,8
"78",2020-12-19,4
"79",2020-12-20,1
"80",2020-12-21,6
"81",2020-12-22,2
"82",2020-12-24,2
"83",2020-12-25,2
"84",2020-12-26,37
"85",2020-12-27,43
"86",2020-12-28,57
"87",2020-12-29,60
"88",2020-12-30,64
"89",2020-12-31,21
"90",2021-01-01,2
"91",2021-01-02,2
"92",2021-01-04,5
"93",2021-01-05,6
"94",2021-01-06,2
"95",2021-01-07,4
"96",2021-01-08,6
"97",2021-01-09,3
"98",2021-01-10,1
"99",2021-01-11,3
"100",2021-01-12,1
"101",2021-01-13,7
"102",2021-01-14,4
"103",2021-01-15,6
"104",2021-01-16,4
"105",2021-01-19,1
"106",2021-01-22,5
"107",2021-01-23,11
"108",2021-01-24,9
"109",2021-01-25,3
"110",2021-01-26,2
"111",2021-01-27,6
"112",2021-01-28,9
"113",2021-01-29,6
"114",2021-01-30,9
"115",2021-01-31,1
"116",2021-02-02,2
"117",2021-02-03,5
"118",2021-02-05,8
"119",2021-02-06,8
"120",2021-02-07,4
"121",2021-02-08,2
"122",2021-02-09,7
"123",2021-02-12,8
"124",2021-02-14,1
"125",2021-02-17,2
"126",2021-02-18,12
"127",2021-02-19,2
"128",2021-02-20,9
"129",2021-02-21,4
"130",2021-02-22,2
"131",2021-02-23,3
"132",2021-02-24,2
"133",2021-02-25,4
"134",2021-02-26,2
"135",2021-02-27,6
"136",2021-02-28,4
"137",2021-03-01,4
"138",2021-03-02,4
"139",2021-03-03,2
"140",2021-03-04,1
"141",2021-03-05,10
"142",2021-03-06,4
"143",2021-03-07,5
"144",2021-03-08,8
"145",2021-03-09,6
"146",2021-03-11,2
"147",2021-03-12,2
"148",2021-03-13,17
"149",2021-03-14,6
"150",2021-03-15,6
"151",2021-03-16,4
"152",2021-03-17,2
"153",2021-03-18,3
"154",2021-03-19,5
"155",2021-03-20,9
"156",2021-03-21,4
"157",2021-03-22,10
"158",2021-03-24,4
"159",2021-03-26,4
"160",2021-03-29,9
"161",2021-03-30,4
"162",2021-04-01,7
"163",2021-04-02,2
"164",2021-04-05,5
"165",2021-04-06,4
"166",2021-04-07,4
"167",2021-04-10,2
"168",2021-04-11,1
"169",2021-04-12,6
